               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.079727,            0.015408,            0.033722,             0.18183,             0.77068,              0.2962,            0.096192,            0.055676,            0.008816,            0.023528,            0.008614,            0.008614,            0.008614
                  37,            0.079933,            0.016384,            0.035026,             0.18183,             0.77068,              0.2962,            0.096192,            0.055676,            0.008816,            0.023528,           0.0085744,           0.0085744,           0.0085744
                  38,            0.079952,            0.020623,            0.034958,             0.18183,             0.77068,              0.2962,            0.096192,            0.055676,            0.008816,            0.023528,           0.0085348,           0.0085348,           0.0085348
                  39,            0.073828,            0.017678,            0.034084,             0.43727,             0.85909,             0.55218,             0.17368,            0.046068,           0.0094803,            0.023547,           0.0084952,           0.0084952,           0.0084952
                  40,            0.069591,            0.020241,            0.034879,             0.43727,             0.85909,             0.55218,             0.17368,            0.046068,           0.0094803,            0.023547,           0.0084556,           0.0084556,           0.0084556
                  41,            0.063104,            0.017882,            0.031972,             0.43572,             0.83021,             0.57099,             0.25877,             0.04177,           0.0097653,             0.02317,            0.008416,            0.008416,            0.008416
                  42,            0.061514,            0.017513,            0.032651,             0.43572,             0.83021,             0.57099,             0.25877,             0.04177,           0.0097653,             0.02317,           0.0083764,           0.0083764,           0.0083764
                  43,            0.065674,             0.02104,            0.033924,             0.43572,             0.83021,             0.57099,             0.25877,             0.04177,           0.0097653,             0.02317,           0.0083368,           0.0083368,           0.0083368
                  44,            0.071089,            0.018386,            0.036699,             0.41742,              0.7443,             0.56189,             0.12992,            0.043214,           0.0093613,            0.023181,           0.0082972,           0.0082972,           0.0082972
                  45,            0.065486,            0.018094,            0.031196,             0.41742,              0.7443,             0.56189,             0.12992,            0.043214,           0.0093613,            0.023181,           0.0082576,           0.0082576,           0.0082576
                  46,            0.063468,            0.016303,            0.031677,             0.41742,              0.7443,             0.56189,             0.12992,            0.043214,           0.0093613,            0.023181,            0.008218,            0.008218,            0.008218
                  47,             0.06189,            0.019065,             0.03081,             0.43187,             0.77429,              0.5924,             0.15256,            0.040196,            0.009608,            0.023183,           0.0081784,           0.0081784,           0.0081784
                  48,            0.061156,            0.015608,            0.031934,             0.43187,             0.77429,              0.5924,             0.15256,            0.040196,            0.009608,            0.023183,           0.0081388,           0.0081388,           0.0081388
                  49,              0.0632,            0.016007,             0.03154,             0.50459,             0.66784,             0.60711,             0.27593,            0.055497,           0.0087327,            0.023337,           0.0080992,           0.0080992,           0.0080992
                  50,            0.077691,             0.01635,            0.033987,             0.50459,             0.66784,             0.60711,             0.27593,            0.055497,           0.0087327,            0.023337,           0.0080596,           0.0080596,           0.0080596
                  51,            0.074219,            0.016126,            0.032728,             0.50459,             0.66784,             0.60711,             0.27593,            0.055497,           0.0087327,            0.023337,             0.00802,             0.00802,             0.00802
                  52,            0.069873,            0.014834,            0.032092,             0.31704,             0.47882,             0.38737,            0.072816,            0.051023,            0.009179,             0.02319,           0.0079804,           0.0079804,           0.0079804
                  53,            0.072729,              0.0165,            0.034153,             0.31704,             0.47882,             0.38737,            0.072816,            0.051023,            0.009179,             0.02319,           0.0079408,           0.0079408,           0.0079408
                  54,            0.072316,            0.015964,            0.032533,             0.57122,             0.58636,             0.55494,             0.13614,            0.051229,           0.0088441,            0.022532,           0.0079012,           0.0079012,           0.0079012
                  55,             0.06033,            0.015909,            0.029397,             0.57122,             0.58636,             0.55494,             0.13614,            0.051229,           0.0088441,            0.022532,           0.0078616,           0.0078616,           0.0078616
