               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.081262,            0.015441,            0.037182,            0.036218,                   1,            0.049709,            0.019412,            0.062755,           0.0085495,            0.025275,            0.009307,            0.009307,            0.009307
                  37,            0.087142,            0.017257,            0.035747,            0.036218,                   1,            0.049709,            0.019412,            0.062755,           0.0085495,            0.025275,           0.0092872,           0.0092872,           0.0092872
                  38,             0.08269,            0.016538,            0.035189,            0.036218,                   1,            0.049709,            0.019412,            0.062755,           0.0085495,            0.025275,           0.0092674,           0.0092674,           0.0092674
                  39,            0.073515,            0.015425,            0.032436,              0.1387,             0.86364,             0.15466,            0.072634,            0.051922,           0.0096509,            0.024913,           0.0092476,           0.0092476,           0.0092476
                  40,            0.076575,            0.021161,            0.033661,              0.1387,             0.86364,             0.15466,            0.072634,            0.051922,           0.0096509,            0.024913,           0.0092278,           0.0092278,           0.0092278
                  41,            0.071095,            0.016269,            0.034003,            0.067029,             0.47727,             0.11982,            0.037168,            0.051947,            0.009522,            0.023848,            0.009208,            0.009208,            0.009208
                  42,            0.071867,            0.015134,            0.033472,            0.067029,             0.47727,             0.11982,            0.037168,            0.051947,            0.009522,            0.023848,           0.0091882,           0.0091882,           0.0091882
                  43,            0.072581,            0.020581,            0.034187,            0.067029,             0.47727,             0.11982,            0.037168,            0.051947,            0.009522,            0.023848,           0.0091684,           0.0091684,           0.0091684
                  44,            0.071577,             0.01713,            0.035382,             0.22235,             0.80386,             0.35764,             0.10609,             0.03754,             0.01084,            0.023308,           0.0091486,           0.0091486,           0.0091486
                  45,            0.064169,            0.017815,            0.033342,             0.22235,             0.80386,             0.35764,             0.10609,             0.03754,             0.01084,            0.023308,           0.0091288,           0.0091288,           0.0091288
                  46,            0.062214,             0.01883,             0.03314,             0.22235,             0.80386,             0.35764,             0.10609,             0.03754,             0.01084,            0.023308,            0.009109,            0.009109,            0.009109
